,title,name,rating,rental_duration,rental_rate,length,replacement_cost,special_features,rental_date
566,Working Microcosmos,Travel,R,4,4.99,74,22.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 10:12:41
567,Dracula Crystal,Classics,G,7,0.99,176,26.99,['Commentaries'],2005-05-28 10:15:04
568,Unforgiven Zoolander,Sci-Fi,PG,7,0.99,129,15.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 10:17:41
569,Hellfighters Sierra,Foreign,PG,3,2.99,75,23.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 10:30:13
570,Talented Homicide,Sports,PG,6,0.99,173,9.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 10:35:23
571,Storm Happiness,Animation,NC-17,6,0.99,57,28.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 10:44:28
572,Wife Turn,Documentary,NC-17,3,4.99,183,27.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 10:56:09
573,Hawk Chill,Documentary,PG-13,5,0.99,47,12.99,['Behind the Scenes'],2005-05-28 10:56:10
574,Blues Instinct,Family,G,5,2.99,50,18.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 11:09:14
575,Others Soup,Travel,PG,7,2.99,118,18.99,['Deleted Scenes'],2005-05-28 11:15:48
576,Satisfaction Confidential,Sports,G,3,4.99,75,26.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 11:19:23
577,Scissorhands Slums,Foreign,G,5,2.99,147,13.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 11:19:53
578,Fantasy Troopers,Action,PG-13,6,0.99,58,27.99,['Behind the Scenes'],2005-05-28 11:20:29
579,Zorro Ark,Comedy,NC-17,3,4.99,50,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 11:33:46
580,Model Fish,Children,NC-17,4,4.99,175,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 11:48:55
581,Hanover Galaxy,Music,NC-17,5,4.99,47,21.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 11:49:00
582,Seattle Expecations,Drama,PG-13,4,4.99,110,18.99,['Trailers'],2005-05-28 11:50:45
583,Curtain Videotape,Games,PG-13,7,0.99,133,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 12:03:00
584,Feud Frogmen,Family,R,6,0.99,98,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 12:05:33
585,Amadeus Holy,Action,PG,6,0.99,113,20.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 12:08:37
586,Unbreakable Karate,New,G,3,0.99,62,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 12:27:50
587,Bugsy Song,Foreign,G,4,2.99,119,17.99,['Commentaries'],2005-05-28 13:06:50
588,Blues Instinct,Family,G,5,2.99,50,18.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 13:11:04
589,Chasing Fight,Family,PG,7,4.99,114,21.99,"['Trailers', 'Commentaries']",2005-05-28 13:21:08
590,Halloween Nuts,Documentary,PG-13,6,2.99,47,19.99,['Deleted Scenes'],2005-05-28 13:33:23
591,Murder Antitrust,Children,PG,6,2.99,166,11.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 13:41:56
592,Celebrity Horn,Action,PG-13,7,0.99,110,24.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 13:59:54
593,Conquerer Nuts,Drama,G,4,4.99,173,14.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 14:00:03
594,Wind Phantom,Games,R,6,0.99,111,12.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 14:01:02
595,Celebrity Horn,Action,PG-13,7,0.99,110,24.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 14:04:50
596,Tourist Pelican,Sports,PG-13,4,4.99,152,18.99,['Deleted Scenes'],2005-05-28 14:05:57
597,Fury Murder,Children,PG-13,3,0.99,178,28.99,['Deleted Scenes'],2005-05-28 14:08:19
598,Quills Bull,Documentary,R,4,4.99,112,19.99,"['Trailers', 'Behind the Scenes']",2005-05-28 14:08:22
599,Entrapment Satisfaction,Action,R,5,0.99,176,19.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 14:15:54
600,Range Moonwalker,Family,PG,3,4.99,147,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 14:27:51
601,Gandhi Kwai,Family,PG-13,7,0.99,86,9.99,['Trailers'],2005-05-28 14:37:07
602,Unbreakable Karate,New,G,3,0.99,62,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 14:39:10
603,Scarface Bang,Children,PG-13,3,4.99,102,11.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 14:48:39
604,Mask Peach,New,NC-17,6,2.99,123,26.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 15:02:41
605,United Pilot,Documentary,R,3,0.99,164,27.99,"['Trailers', 'Deleted Scenes']",2005-05-28 15:03:44
606,Outbreak Divine,Games,NC-17,6,0.99,169,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 15:04:02
607,Siege Madre,Family,R,7,0.99,111,23.99,"['Trailers', 'Deleted Scenes']",2005-05-28 15:15:25
608,Effect Gladiator,Family,PG,6,0.99,107,14.99,['Commentaries'],2005-05-28 15:18:18
609,Island Exorcist,Classics,NC-17,7,2.99,84,23.99,"['Trailers', 'Commentaries']",2005-05-28 15:24:54
610,Beast Hunchback,Classics,R,3,4.99,89,22.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 15:27:22
611,Bedazzled Married,Family,PG,6,0.99,73,21.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 15:33:28
612,Roses Treasure,Sports,PG-13,5,4.99,162,23.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 15:35:52
613,Deer Virginian,Music,NC-17,7,2.99,106,13.99,['Deleted Scenes'],2005-05-28 15:45:39
614,Town Ark,Foreign,R,6,2.99,136,17.99,['Behind the Scenes'],2005-05-28 15:49:14
615,Whisperer Giant,Sci-Fi,PG-13,4,4.99,59,24.99,"['Trailers', 'Deleted Scenes']",2005-05-28 15:50:07
616,Madison Trap,Documentary,R,4,2.99,147,11.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 15:52:26
617,Lost Bird,Foreign,PG-13,4,2.99,98,21.99,['Deleted Scenes'],2005-05-28 15:54:45
618,Drifter Commandments,Action,PG-13,5,4.99,61,18.99,"['Trailers', 'Behind the Scenes']",2005-05-28 15:58:12
619,Lebowski Soldiers,Drama,PG-13,6,2.99,69,17.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 15:58:22
620,Easy Gladiator,Action,G,5,4.99,148,12.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 16:01:28
621,Sinners Atlantis,Horror,PG-13,7,2.99,126,19.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 16:13:22
622,Odds Boogie,Family,NC-17,6,0.99,48,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 16:35:46
623,Brooklyn Desert,Foreign,R,7,4.99,161,21.99,['Commentaries'],2005-05-28 16:58:09
624,Brannigan Sunrise,New,PG,4,4.99,121,27.99,['Trailers'],2005-05-28 17:04:43
625,Majestic Floats,Documentary,PG,5,0.99,130,15.99,['Trailers'],2005-05-28 17:05:46
626,Freddy Storm,Horror,NC-17,6,4.99,65,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 17:19:15
627,Elephant Trojan,Horror,PG-13,4,4.99,126,24.99,['Behind the Scenes'],2005-05-28 17:24:51
628,Luck Opus,Drama,NC-17,7,2.99,152,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 17:36:32
629,Enemy Odds,Music,NC-17,5,4.99,77,23.99,['Trailers'],2005-05-28 17:37:50
630,Alamo Videotape,Foreign,G,6,0.99,126,16.99,"['Commentaries', 'Behind the Scenes']",2005-05-28 17:37:59
631,Mile Mulan,Sports,PG,4,0.99,64,10.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 17:40:35
632,Glass Dying,Action,G,4,0.99,103,24.99,['Trailers'],2005-05-28 17:46:57
633,Turn Star,Animation,G,3,2.99,80,10.99,"['Commentaries', 'Behind the Scenes']",2005-05-28 17:47:58
634,Games Bowfinger,Travel,PG-13,7,4.99,119,17.99,['Behind the Scenes'],2005-05-28 18:14:29
635,Modern Dorado,Documentary,PG,3,0.99,74,20.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 18:24:43
636,Trouble Date,Travel,PG,6,2.99,61,13.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 18:25:02
637,Cabin Flash,Children,NC-17,4,0.99,53,25.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 18:43:26
638,Secret Groundhog,Documentary,PG,6,4.99,90,11.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 18:45:47
639,Anthem Luke,Comedy,PG-13,5,4.99,91,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 18:49:12
640,Pittsburgh Hunchback,Family,PG-13,4,4.99,134,17.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 18:52:11
641,Velvet Terminator,Comedy,R,3,4.99,173,14.99,['Behind the Scenes'],2005-05-28 18:59:12
642,Pocus Pulp,Documentary,NC-17,6,0.99,138,15.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 19:14:09
643,Hills Neighbors,Action,G,5,0.99,93,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 19:16:14
644,Rush Goodfellas,Family,PG,3,0.99,48,20.99,['Deleted Scenes'],2005-05-28 19:22:52
645,Sassy Packer,Games,G,6,0.99,154,29.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 19:25:54
646,Gun Bonnie,Games,G,7,0.99,100,27.99,['Behind the Scenes'],2005-05-28 19:35:45
647,Wardrobe Phantom,Drama,G,6,2.99,178,19.99,"['Trailers', 'Commentaries']",2005-05-28 19:45:40
648,Clueless Bucket,Action,R,4,2.99,95,13.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 19:46:50
649,Eagles Panky,New,NC-17,4,4.99,140,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 20:08:47
650,Angels Life,New,G,3,2.99,74,15.99,['Trailers'],2005-05-28 20:12:20
651,Knock Warlock,Comedy,PG-13,4,2.99,71,21.99,['Trailers'],2005-05-28 20:15:30
652,Bingo Talented,Sci-Fi,PG-13,5,2.99,150,22.99,"['Trailers', 'Commentaries']",2005-05-28 20:16:20
653,Nightmare Chill,Games,PG,3,4.99,149,25.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 20:18:24
654,Craft Outfield,Drama,NC-17,6,0.99,64,17.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-28 20:23:09
655,Quills Bull,Documentary,R,4,4.99,112,19.99,"['Trailers', 'Behind the Scenes']",2005-05-28 20:23:23
656,Fantasy Troopers,Action,PG-13,6,0.99,58,27.99,['Behind the Scenes'],2005-05-28 20:27:53
657,Feud Frogmen,Family,R,6,0.99,98,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 20:53:31
658,Jet Neighbors,Foreign,R,7,4.99,59,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 21:01:25
659,Pacific Amistad,Documentary,G,3,0.99,144,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 21:09:31
660,Swarm Gold,Horror,PG-13,4,0.99,123,12.99,"['Trailers', 'Commentaries']",2005-05-28 21:23:02
661,Alter Victory,Animation,PG-13,6,0.99,57,27.99,"['Trailers', 'Behind the Scenes']",2005-05-28 21:31:08
662,Details Packer,Games,R,4,4.99,88,17.99,"['Commentaries', 'Deleted Scenes']",2005-05-28 21:38:39
663,Philadelphia Wife,Sports,PG-13,7,4.99,137,16.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 21:48:51
664,Confidential Interview,Music,NC-17,6,4.99,180,13.99,['Commentaries'],2005-05-28 21:49:02
665,Sea Virgin,Drama,PG,4,2.99,80,24.99,['Deleted Scenes'],2005-05-28 21:54:45
666,Sleeping Suspects,Horror,PG-13,7,4.99,129,13.99,"['Trailers', 'Commentaries']",2005-05-28 22:03:25
667,Balloon Homeward,Music,NC-17,5,2.99,75,10.99,['Deleted Scenes'],2005-05-28 22:04:03
668,Diary Panic,Drama,G,7,2.99,107,20.99,"['Commentaries', 'Behind the Scenes']",2005-05-28 22:04:30
669,Circus Youth,Children,PG-13,5,2.99,90,13.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 22:05:29
670,Groove Fiction,Sports,NC-17,6,0.99,111,13.99,['Behind the Scenes'],2005-05-28 22:07:30
671,Driver Annie,Sports,PG-13,4,2.99,159,11.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 22:11:35
672,Encounters Curtain,Drama,NC-17,5,0.99,92,20.99,['Trailers'],2005-05-28 22:22:44
673,Lady Stage,Horror,PG,4,4.99,67,14.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-28 22:27:51
674,Yentl Idaho,Horror,R,5,4.99,86,11.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 23:00:08
675,Something Duck,Drama,NC-17,4,4.99,180,17.99,"['Commentaries', 'Behind the Scenes']",2005-05-28 23:15:48
676,Cyclone Family,Foreign,PG,7,2.99,176,18.99,"['Trailers', 'Deleted Scenes']",2005-05-28 23:24:57
677,Tracy Cider,Animation,G,3,0.99,142,29.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-28 23:27:26
678,Robbers Joon,Children,PG-13,7,2.99,102,26.99,['Commentaries'],2005-05-28 23:39:44
679,Prejudice Oleander,Classics,PG-13,6,4.99,98,15.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-28 23:53:18
680,Hurricane Affair,Comedy,PG,6,2.99,49,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 00:09:48
681,Raging Airplane,Sci-Fi,R,4,4.99,154,18.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 00:13:15
682,Fargo Gandhi,Children,G,3,2.99,130,28.99,['Deleted Scenes'],2005-05-29 00:17:51
683,Loser Hustler,Sports,PG,5,4.99,80,28.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 00:27:10
684,Grease Youth,Family,G,7,0.99,135,20.99,"['Trailers', 'Deleted Scenes']",2005-05-29 00:32:09
685,Tourist Pelican,Sports,PG-13,4,4.99,152,18.99,['Deleted Scenes'],2005-05-29 00:45:24
686,Clueless Bucket,Action,R,4,2.99,95,13.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 00:46:53
687,Mine Titans,New,PG-13,3,4.99,166,12.99,"['Trailers', 'Deleted Scenes']",2005-05-29 00:54:53
688,Telegraph Voyage,Music,PG,3,4.99,148,20.99,['Commentaries'],2005-05-29 01:01:26
689,Confidential Interview,Music,NC-17,6,4.99,180,13.99,['Commentaries'],2005-05-29 01:32:10
690,Chariots Conspiracy,Sci-Fi,R,5,2.99,71,29.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 01:42:31
691,Cause Date,Documentary,R,3,2.99,179,16.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 01:49:43
692,Vacation Boondock,Sci-Fi,R,4,2.99,145,23.99,['Commentaries'],2005-05-29 01:50:53
693,Idols Snatchers,Children,NC-17,5,2.99,84,29.99,['Trailers'],2005-05-29 01:59:10
694,Suit Walls,Games,R,3,4.99,111,12.99,['Commentaries'],2005-05-29 02:04:04
695,Feud Frogmen,Family,R,6,0.99,98,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 02:10:52
696,Annie Identity,Sci-Fi,G,3,0.99,86,15.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 02:11:44
697,Caddyshack Jedi,Action,NC-17,3,0.99,52,17.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 02:18:54
698,Blood Argonauts,Family,G,3,0.99,71,13.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 02:26:27
699,Mars Roman,Games,NC-17,6,0.99,62,21.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 02:27:30
700,Dracula Crystal,Classics,G,7,0.99,176,26.99,['Commentaries'],2005-05-29 02:29:36
701,Mighty Luck,Documentary,PG,7,2.99,122,13.99,['Behind the Scenes'],2005-05-29 02:44:43
702,National Story,Documentary,NC-17,4,2.99,92,19.99,['Trailers'],2005-05-29 02:48:52
703,Kane Exorcist,Foreign,R,5,0.99,92,18.99,"['Trailers', 'Commentaries']",2005-05-29 03:05:49
704,Conquerer Nuts,Drama,G,4,4.99,173,14.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 03:18:19
705,Polish Brooklyn,Children,PG,6,0.99,61,12.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 03:23:47
706,Lover Truman,Classics,G,3,2.99,75,29.99,['Trailers'],2005-05-29 03:48:01
707,Atlantis Cause,Family,G,6,2.99,170,15.99,['Behind the Scenes'],2005-05-29 03:48:36
708,Zorro Ark,Comedy,NC-17,3,4.99,50,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 03:49:03
709,Trojan Tomorrow,Sci-Fi,PG,3,2.99,52,9.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 04:02:24
710,Sinners Atlantis,Horror,PG-13,7,2.99,126,19.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 04:10:17
711,House Dynamite,Family,R,7,2.99,109,13.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 04:15:21
712,Hunting Musketeers,Family,NC-17,6,2.99,65,24.99,"['Trailers', 'Deleted Scenes']",2005-05-29 04:22:41
713,Alone Trip,Music,R,3,0.99,82,14.99,"['Trailers', 'Behind the Scenes']",2005-05-29 04:35:29
714,Fantasy Troopers,Action,PG-13,6,0.99,58,27.99,['Behind the Scenes'],2005-05-29 04:37:44
715,Greatest North,Music,NC-17,5,2.99,93,24.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 04:52:23
716,Bear Graceland,Children,R,4,2.99,160,20.99,['Deleted Scenes'],2005-05-29 05:16:05
717,Sleepy Japanese,New,PG,4,2.99,137,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 05:17:30
718,Downhill Enough,Comedy,G,3,0.99,47,19.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 05:28:47
719,Worst Banger,Action,PG,4,2.99,185,26.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 05:30:31
720,Roxanne Rebel,Games,R,5,0.99,171,9.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 05:34:44
721,Speakeasy Date,Action,PG-13,6,2.99,165,22.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 05:53:23
722,Timberland Sky,Classics,G,3,0.99,69,13.99,['Commentaries'],2005-05-29 06:03:41
723,Dancing Fever,Documentary,G,6,0.99,144,25.99,"['Commentaries', 'Behind the Scenes']",2005-05-29 06:05:29
724,Giant Troopers,Children,R,5,2.99,102,10.99,"['Trailers', 'Commentaries']",2005-05-29 06:08:15
725,Barbarella Streetcar,Sci-Fi,G,6,2.99,65,27.99,['Behind the Scenes'],2005-05-29 06:12:38
726,Gone Trouble,Drama,R,7,2.99,84,20.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 06:35:13
727,Santa Paris,Children,PG,7,2.99,154,23.99,"['Commentaries', 'Behind the Scenes']",2005-05-29 07:00:59
728,Tootsie Pilot,Children,PG,3,0.99,157,10.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 07:25:16
729,Mallrats United,Comedy,PG,4,0.99,133,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 07:32:51
730,Outfield Massacre,Music,NC-17,4,0.99,129,18.99,"['Trailers', 'Deleted Scenes']",2005-05-29 07:35:21
731,Pickup Driving,Sports,G,3,2.99,77,23.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 07:38:52
732,Rules Human,Horror,R,6,4.99,153,19.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 08:08:13
733,Sleuth Orient,Games,NC-17,4,0.99,87,25.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 08:10:07
734,Coma Head,Travel,NC-17,6,4.99,109,10.99,['Commentaries'],2005-05-29 08:11:31
735,Karate Moon,Horror,PG-13,4,0.99,120,21.99,['Behind the Scenes'],2005-05-29 08:20:08
736,Durham Panky,Sports,R,6,4.99,154,14.99,"['Trailers', 'Commentaries']",2005-05-29 08:28:18
737,Center Dinosaur,Classics,PG,5,4.99,152,12.99,['Deleted Scenes'],2005-05-29 08:30:36
738,Prix Undefeated,Family,R,4,2.99,115,13.99,"['Trailers', 'Deleted Scenes']",2005-05-29 08:35:49
739,Beauty Grease,Drama,G,5,4.99,175,28.99,"['Trailers', 'Commentaries']",2005-05-29 08:36:30
740,Mallrats United,Comedy,PG,4,0.99,133,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 08:39:02
741,Snatch Slipper,Comedy,PG,6,4.99,110,15.99,['Commentaries'],2005-05-29 09:13:08
742,Cat Coneheads,Comedy,G,5,4.99,112,14.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 09:22:57
743,Vacation Boondock,Sci-Fi,R,4,2.99,145,23.99,['Commentaries'],2005-05-29 09:25:10
744,Horror Reign,Travel,R,3,0.99,139,25.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 09:26:34
745,Nash Chocolat,Animation,PG-13,6,2.99,180,21.99,"['Commentaries', 'Behind the Scenes']",2005-05-29 09:27:00
746,Drifter Commandments,Action,PG-13,5,4.99,61,18.99,"['Trailers', 'Behind the Scenes']",2005-05-29 09:33:33
747,Closer Bang,Comedy,R,5,4.99,58,12.99,"['Trailers', 'Behind the Scenes']",2005-05-29 09:41:40
748,Moon Bunch,Foreign,PG,7,0.99,83,20.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-29 09:55:43
749,Grail Frankenstein,Action,NC-17,4,2.99,85,17.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 10:14:15
750,Detective Vision,Classics,PG-13,4,0.99,143,16.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 10:16:42
751,Club Graffiti,Animation,PG-13,4,0.99,65,12.99,"['Trailers', 'Deleted Scenes']",2005-05-29 10:18:59
752,Pilot Hoosiers,Family,PG,6,2.99,50,17.99,"['Trailers', 'Deleted Scenes']",2005-05-29 10:26:29
753,Potluck Mixed,Animation,G,3,2.99,179,10.99,['Behind the Scenes'],2005-05-29 10:28:45
754,Doctor Grail,Children,G,4,2.99,57,29.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 10:29:47
755,Dying Maker,Comedy,PG,5,4.99,168,28.99,['Behind the Scenes'],2005-05-29 10:31:56
756,Legally Secretary,Children,PG,7,4.99,113,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 10:57:57
757,Range Moonwalker,Family,PG,3,4.99,147,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 11:07:25
758,Language Cowboy,Children,NC-17,5,0.99,78,26.99,"['Trailers', 'Deleted Scenes']",2005-05-29 11:09:01
759,Sleepless Monsoon,Animation,G,5,4.99,64,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 11:15:51
760,Hunchback Impossible,Drama,PG-13,4,4.99,151,28.99,"['Trailers', 'Deleted Scenes']",2005-05-29 11:32:15
761,Dogma Family,Animation,G,5,4.99,122,16.99,['Commentaries'],2005-05-29 11:37:35
762,Camelot Vacation,Sci-Fi,NC-17,3,0.99,61,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 11:38:34
763,Interview Liaisons,New,R,4,4.99,59,17.99,"['Commentaries', 'Behind the Scenes']",2005-05-29 11:47:02
764,Cider Desire,Documentary,PG,7,2.99,101,9.99,['Behind the Scenes'],2005-05-29 12:20:19
765,Oleander Clue,Music,PG,5,0.99,161,12.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 12:30:46
766,Freaky Pocus,Music,R,7,2.99,126,16.99,"['Trailers', 'Behind the Scenes']",2005-05-29 12:51:44
767,Madre Gables,Games,PG-13,7,2.99,98,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-29 12:56:50
768,Blackout Private,Animation,PG,7,2.99,85,12.99,"['Trailers', 'Deleted Scenes']",2005-05-29 12:59:14
769,Ridgemont Submarine,New,PG-13,3,0.99,46,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 13:08:06
770,Barbarella Streetcar,Sci-Fi,G,6,2.99,65,27.99,['Behind the Scenes'],2005-05-29 13:18:05
771,Dying Maker,Comedy,PG,5,4.99,168,28.99,['Behind the Scenes'],2005-05-29 13:19:43
772,Dynamite Tarzan,Classics,PG-13,4,0.99,141,27.99,['Deleted Scenes'],2005-05-29 13:23:26
773,Virginian Pluto,Documentary,R,5,0.99,164,22.99,['Deleted Scenes'],2005-05-29 13:35:35
774,Brooklyn Desert,Foreign,R,7,4.99,161,21.99,['Commentaries'],2005-05-29 14:07:58
775,Handicap Boondock,Action,R,4,0.99,108,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 14:09:53
776,Candles Grapes,Games,NC-17,6,4.99,135,15.99,"['Trailers', 'Deleted Scenes']",2005-05-29 14:17:17
777,Hills Neighbors,Action,G,5,0.99,93,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 14:18:32
778,Alter Victory,Animation,PG-13,6,0.99,57,27.99,"['Trailers', 'Behind the Scenes']",2005-05-29 14:23:58
779,Joon Northwest,Sports,NC-17,3,0.99,105,23.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-29 14:38:57
780,Peak Forever,Sports,PG,7,4.99,80,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-29 14:41:18
781,Others Soup,Travel,PG,7,2.99,118,18.99,['Deleted Scenes'],2005-05-29 14:44:22
782,Airport Pollock,Horror,R,6,4.99,54,15.99,['Trailers'],2005-05-29 15:08:41
783,Million Ace,Classics,PG-13,4,4.99,142,16.99,['Deleted Scenes'],2005-05-29 15:17:28
784,Streak Ridgemont,Documentary,PG-13,7,0.99,132,28.99,"['Trailers', 'Behind the Scenes']",2005-05-29 16:03:03
785,Color Philadelphia,Classics,G,6,2.99,149,19.99,"['Commentaries', 'Behind the Scenes']",2005-05-29 16:13:55
786,Clash Freddy,Animation,G,6,2.99,81,12.99,"['Commentaries', 'Deleted Scenes']",2005-05-29 16:17:07
